Date,ACN,AMAT,BBY,BLL,CME,CRM,CSCO,DIS,EA,EQR,EXR,HAS,HD,HPQ,ILMN,INTC,IRM,JNPR,KSS,LOW,MSFT,NKE,NVDA,PAYX,PLD,SNPS,STX,TJX,TSCO,VTR,WDC,WELL,WM
2008-01-02,27.697734832763672,13.537092208862305,36.49329376220703,9.957756042480469,84.44338989257812,15.069999694824219,20.00841522216797,27.01250457763672,56.7599983215332,19.621519088745117,8.580018043518066,17.269094467163086,18.789037704467773,16.766273498535156,29.780000686645508,17.091156005859375,16.44594383239746,28.001123428344727,31.13301658630371,17.555713653564453,26.3857479095459,10.046854019165039,30.358781814575195,21.7891845703125,36.286773681640625,25.200000762939453,14.294999122619629,4.689306735992432,7.611317157745361,26.929536819458008,22.45547866821289,22.627151489257812,21.75023651123047
2008-01-03,27.221515655517578,13.296052932739258,35.08256912231445,9.830089569091797,81.4815673828125,15.244999885559082,20.166736602783203,26.953121185302734,56.13999938964844,18.79205894470215,8.315546035766602,17.048049926757812,18.580345153808594,16.766273498535156,29.55500030517578,16.632692337036133,16.505474090576172,28.28898811340332,29.905447006225586,17.223278045654297,26.498136520385742,9.956356048583984,30.119659423828125,21.882593154907227,34.02971649169922,24.899999618530273,14.33595085144043,4.664222717285156,7.35761022567749,26.18250846862793,22.28274917602539,22.205442428588867,21.75023651123047
2008-01-04,26.814420700073242,13.039459228515625,33.92122268676758,9.769619941711426,77.86698913574219,14.71500015258789,19.691776275634766,26.4101505279541,54.5099983215332,17.978763580322266,8.1802339553833,16.398731231689453,17.961483001708984,15.827495574951172,28.55500030517578,15.284282684326172,16.04749298095703,27.146263122558594,28.365793228149414,16.685043334960938,25.756446838378906,9.802351951599121,27.590534210205078,21.17891502380371,32.81435775756836,24.729999542236328,13.634069442749023,4.558862209320068,7.10612154006958,24.97389793395996,20.123567581176758,21.64314842224121,20.93444061279297
2008-01-07,26.092405319213867,13.008358001708984,33.67831802368164,9.641958236694336,76.93609619140625,14.4399995803833,19.699316024780273,26.43560218811035,54.029998779296875,18.24807357788086,8.12488079071045,16.350379943847656,18.25652313232422,15.314205169677734,28.405000686645508,15.425858497619629,16.056655883789062,26.779897689819336,28.594654083251953,16.70879554748535,25.928760528564453,9.86109447479248,24.739513397216797,21.60236358642578,32.99442672729492,24.399999618530273,13.470290184020996,4.597326755523682,7.228525638580322,25.39903450012207,19.848764419555664,21.62306785583496,21.28502655029297
2008-01-08,26.092405319213867,12.697340965270996,32.606658935546875,9.458297729492188,74.92268371582031,13.675000190734863,19.171594619750977,25.909610748291016,53.5,17.83333969116211,7.866556167602539,16.177690505981445,17.803173065185547,14.584799766540527,28.375,15.007852554321289,15.786442756652832,26.51820182800293,27.58902359008789,16.241804122924805,25.059715270996094,9.816638946533203,25.263729095458984,20.898677825927734,32.525001525878906,23.59000015258789,12.967276573181152,4.446815490722656,7.06383752822876,24.919239044189453,18.498292922973633,21.16118621826172,21.392902374267578
2008-01-09,25.969512939453125,12.938379287719727,33.17107009887695,9.54340648651123,75.21588897705078,13.582500457763672,19.782249450683594,25.587217330932617,53.25,18.064943313598633,7.971115589141846,15.73559856414795,17.795970916748047,15.00690746307373,30.225000381469727,15.338210105895996,15.676539421081543,26.884567260742188,28.344989776611328,16.352617263793945,25.8013916015625,9.838865280151367,26.56968116760254,20.86754608154297,32.203487396240234,23.209999084472656,13.751047134399414,4.451830863952637,7.010424613952637,25.35651969909668,19.4797420501709,21.6531925201416,21.00860023498535
2008-01-10,25.815885543823242,12.751768112182617,33.27108383178711,9.776334762573242,76.63916015625,13.895000457763672,19.782249450683594,26.019899368286133,53.720001220703125,18.388105392456055,8.051070213317871,16.08788299560547,18.191761016845703,15.31082534790039,35.0099983215332,15.196630477905273,15.68569278717041,26.753726959228516,27.9704647064209,16.44759750366211,25.718994140625,9.929362297058105,26.017873764038086,21.09172248840332,33.02656173706055,23.399999618530273,13.885576248168945,4.757874965667725,7.161758899688721,26.237157821655273,19.950834274291992,22.079933166503906,21.332218170166016
2008-01-11,25.186046600341797,12.751768112182617,31.5778865814209,9.825610160827637,77.38710021972656,13.617500305175781,19.50330924987793,25.722963333129883,52.86000061035156,18.118803024291992,8.100275993347168,15.431659698486328,17.781574249267578,15.196014404296875,35.255001068115234,14.825823783874512,15.465867042541504,23.20342254638672,26.583396911621094,16.075580596923828,25.40434455871582,9.637229919433594,24.87746238708496,21.035682678222656,33.10374069213867,23.170000076293945,13.400102615356445,4.7277727127075195,6.7967729568481445,25.860607147216797,18.828054428100586,22.1702938079834,21.055797576904297
2008-01-14,25.746761322021484,13.093890190124512,31.9851131439209,10.038384437561035,78.10003662109375,13.912500381469727,19.8199462890625,25.748414993286133,53.31999969482422,18.14573097229004,8.21098518371582,15.549094200134277,18.270917892456055,15.577603340148926,35.084999084472656,15.560705184936523,15.401749610900879,24.590396881103516,26.90935707092285,16.495088577270508,25.76393699645996,9.641992568969727,26.532896041870117,20.543733596801758,33.40596008300781,23.700000762939453,13.897268295288086,4.789649486541748,6.961462497711182,25.769514083862305,19.730989456176758,22.009647369384766,21.756980895996094
2008-01-15,25.731399536132812,13.179418563842773,31.506452560424805,9.888323783874512,74.76608276367188,13.552499771118164,19.48822784423828,25.324222564697266,51.470001220703125,17.655595779418945,7.964962005615234,15.010294914245605,18.25652313232422,15.212897300720215,35.005001068115234,15.297768592834473,15.14069938659668,24.03211784362793,26.652734756469727,16.43968391418457,25.471763610839844,9.05931568145752,24.583168029785156,20.587318420410156,32.70505142211914,23.700000762939453,13.639917373657227,4.7394795417785645,6.794546604156494,25.15610694885254,19.84090805053711,21.53270721435547,21.446834564208984
