Symbol,ESG Score
PLD,10.0
ACN,11.0
WELL,11.0
ILMN,11.0
CRM,11.0
BBY,12.0
HAS,12.0
CSCO,12.0
HPQ,12.0
HD,13.0
EA,13.0
KSS,13.0
NVDA,13.0
LOW,13.0
WDC,14.0
VTR,14.0
EXR,14.0
EQR,14.0
SNPS,15.0
CME,15.0
STX,15.0
WM,15.0
BLL,15.0
TJX,15.0
INTC,15.0
MSFT,15.0
AMAT,15.0
PAYX,16.0
DIS,16.0
TSCO,16.0
JNPR,16.0
IRM,16.0
NKE,16.0
