Date,AAL,ADM,AIG,ALB,AOS,BA,BSX,CAT,CF,CVX,CXO,D,DHR,DUK,DVN,EOG,FCX,GD,GE,GS,JNJ,LLY,LUV,MCHP,MNST,MOS,MRO,MU,NOV,NRG,PRGO,PXD,SWKS,TDG,TSN,UAL,VLO,WFC,XOM
2008-05-29,4.072643756866455,28.81997299194336,494.1656494140625,36.352813720703125,4.822479248046875,60.288848876953125,13.270000457763672,56.46550369262695,20.6162109375,61.973297119140625,30.838674545288086,27.47432518005371,18.780426025390625,30.249061584472656,94.852783203125,57.09652328491211,42.72850799560547,67.58028411865234,19.5893611907959,148.03871154785156,45.92569351196289,30.821043014526367,12.170380592346191,24.611553192138672,5.15500020980835,99.37213134765625,23.350378036499023,8.09000015258789,61.65267562866211,35.38191223144531,33.43036651611328,66.46166229248047,8.949844360351562,18.569395065307617,15.697600364685059,8.390000343322754,31.040708541870117,19.804433822631836,57.90439224243164
2008-05-30,3.7332568168640137,28.965900421142578,503.39459228515625,36.41012954711914,4.919089317321777,60.7734489440918,13.289999961853027,56.370018005371094,21.188871383666992,62.155094146728516,31.250120162963867,27.72583770751953,19.197877883911133,30.347585678100586,95.1235580444336,57.46733856201172,43.683650970458984,67.80099487304688,19.640514373779297,148.18148803710938,46.146949768066406,30.529319763183594,12.059576988220215,24.624919891357422,5.206666469573975,102.25238800048828,23.682172775268555,8.069999694824219,63.512638092041016,36.058170318603516,33.52191925048828,68.81986999511719,9.424249649047852,19.05449676513672,15.832051277160645,8.539999961853027,32.444705963134766,19.51422691345215,57.52202224731445
2008-06-02,3.544708251953125,28.81997299194336,501.5767822265625,35.6650505065918,4.923172473907471,59.583988189697266,13.109999656677246,56.158565521240234,21.59130096435547,62.29301452636719,33.140804290771484,27.468341827392578,19.052997589111328,29.7399845123291,97.10083770751953,56.89100646972656,43.634578704833984,67.19770050048828,19.44231605529785,144.76275634765625,45.987918853759766,30.18051528930664,11.994937896728516,24.491239547729492,5.2866668701171875,102.65216064453125,23.78356170654297,8.199999809265137,63.87850570678711,36.058170318603516,32.752784729003906,70.4207763671875,9.04107666015625,19.1069393157959,15.504321098327637,7.880000114440918,33.74656677246094,19.188634872436523,56.90637969970703
2008-06-03,3.8275301456451416,28.031972885131836,503.5342712402344,35.67323303222656,4.897318363189697,57.35921096801758,13.399999618530273,56.219966888427734,22.320295333862305,61.3464241027832,31.945659637451172,27.83962059020996,19.53675651550293,29.510068893432617,96.06707763671875,55.430091857910156,43.11359405517578,66.09405517578125,19.474287033081055,143.28440856933594,46.1607780456543,30.61810874938965,12.484335899353027,23.94312286376953,5.2816667556762695,106.64209747314453,23.861906051635742,8.15999984741211,62.30061721801758,36.22289276123047,33.26556396484375,68.94450378417969,9.232662200927734,19.01079559326172,14.269014358520508,8.529999732971191,33.25518035888672,18.955060958862305,55.54542922973633
2008-06-04,3.950085401535034,27.805803298950195,502.2689208984375,36.50018310546875,4.8143134117126465,57.285789489746094,13.510000228881836,56.24724578857422,22.024677276611328,60.20548629760742,31.04439926147461,28.121068954467773,19.617782592773438,29.8056697845459,92.37503814697266,55.43901824951172,42.11314392089844,65.26997375488281,19.467891693115234,144.56114196777344,46.01556396484375,31.10007667541504,12.548978805541992,24.464500427246094,5.4666666984558105,105.0428237915039,23.00935935974121,8.40999984741211,61.949974060058594,37.063873291015625,32.89927673339844,67.95713806152344,9.716191291809082,18.809762954711914,14.378266334533691,9.140000343322754,31.512950897216797,18.855972290039062,55.571353912353516
2008-06-05,4.166917324066162,28.0611572265625,511.97119140625,37.490875244140625,4.917731285095215,56.76445770263672,13.800000190734863,56.43141555786133,23.54766845703125,62.681671142578125,31.867284774780273,28.372577667236328,20.27097511291504,29.83850860595703,96.18194580078125,58.65571975708008,44.19331359863281,65.95423889160156,19.857894897460938,148.34107971191406,46.299072265625,31.36642837524414,13.121481895446777,24.210493087768555,5.866666793823242,109.67735290527344,23.502458572387695,8.529999732971191,65.4869155883789,37.584075927734375,33.71421813964844,72.23258972167969,10.008132934570312,18.726722717285156,14.285819053649902,10.109999656677246,31.678882598876953,19.252336502075195,57.87847137451172
2008-06-06,3.8840954303741455,27.141843795776367,477.09918212890625,36.303688049316406,4.702733993530273,53.71735763549805,13.489999771118164,54.56241226196289,22.70104217529297,62.37449264526367,35.37435531616211,27.498289108276367,19.445894241333008,29.05027198791504,95.14816284179688,57.547760009765625,43.70631408691406,63.754268646240234,19.192977905273438,142.32676696777344,45.469329833984375,30.706892013549805,12.632081031799316,23.26801109313965,5.730000019073486,108.81246185302734,22.820423126220703,8.289999961853027,63.70321273803711,36.76909637451172,33.54023742675781,72.87487030029297,9.716191291809082,16.27061653137207,13.59674072265625,8.640000343322754,29.5665340423584,17.992441177368164,56.245330810546875
2008-06-09,3.6955461502075195,27.397205352783203,470.9121398925781,35.86155700683594,4.735391616821289,54.297401428222656,13.329999923706055,55.12173843383789,23.389801025390625,63.44019317626953,38.98917770385742,28.025251388549805,19.558855056762695,29.72356605529785,97.83924865722656,58.92378616333008,44.646366119384766,63.371673583984375,19.21855354309082,139.23565673828125,45.37944030761719,30.554691314697266,13.103014945983887,23.535383224487305,5.820000171661377,115.05428314208984,23.32733154296875,8.020000457763672,65.98239135742188,37.506038665771484,32.862667083740234,73.86227416992188,10.217967987060547,17.022308349609375,13.168168067932129,8.279999732971191,28.941120147705078,17.88627815246582,57.72292709350586
2008-06-10,3.5635621547698975,27.083477020263672,482.0206298828125,35.18199920654297,4.840168476104736,54.09182357788086,13.100000381469727,54.6374397277832,23.329439163208008,61.9231071472168,36.85359191894531,28.174970626831055,19.58340835571289,29.411540985107422,95.09071350097656,57.39139175415039,45.08050537109375,63.26869583129883,19.39117431640625,140.45358276367188,45.37252426147461,30.402490615844727,12.848989486694336,22.846900939941406,5.755000114440918,117.4205322265625,23.42410659790039,7.800000190734863,63.63460159301758,37.60140609741211,31.690631866455078,72.16547393798828,9.862163543701172,16.891199111938477,12.840434074401855,8.25,28.462488174438477,18.339269638061523,56.95820999145508
2008-06-11,3.016773223876953,27.200204849243164,467.6780700683594,34.96031188964844,4.748998165130615,53.82749557495117,12.84000015258789,53.839351654052734,23.385154724121094,62.3243293762207,36.85359191894531,27.70187759399414,19.428701400756836,29.460805892944336,95.6732177734375,57.3601188659668,45.33723068237305,62.7830810546875,19.07149887084961,136.4132843017578,45.082115173339844,30.079050064086914,12.470266342163086,20.80819320678711,5.633333206176758,122.08766174316406,23.48863410949707,7.340000152587891,63.543128967285156,37.27196502685547,30.463653564453125,72.52018737792969,9.780055046081543,16.15699005126953,12.470682144165039,7.21999979019165,28.513547897338867,18.084461212158203,57.4248161315918
