,AAL,ABBV,ADM,AIG,ALB,AOS,BA,BSX,CAT,CF,COTY,CVX,CXO,D,DHR,DUK,DVN,EOG,FB,FCX,GD,GE,GS,JNJ,LLY,LUV,MCHP,MNST,MOS,MRO,MU,NOV,NRG,PRGO,PXD,QRVO,SWKS,TDG,TSN,UAL,VLO,WFC,XOM
2015-01-02 00:00:00-05:00,52.3,58.23,52.05,56.1,60.33,28.0,129.95,13.23,81.77,9.862,20.41,112.59,101.006,77.45,85.72,84.02,60.95,92.22,78.45,23.55,138.43,25.06,194.31,104.49,70.04,42.68,44.86,36.05,45.77,28.6,34.755,65.49,27.49,166.61,149.9,70.06,73.29,197.69,39.95,66.38,50.35,54.69,92.81
2015-01-05 00:00:00-05:00,52.27,64.7,50.24,55.0,58.29,27.51,129.05,13.82,87.04,55.402,20.37,108.16,96.13,76.56,84.86,82.87,58.72,86.73,77.19,22.145,135.64,24.6,188.33,103.85,69.43,41.655,43.88,36.48,44.95,27.29,33.78,62.5,26.45,164.77,139.96,67.62,72.12,196.45,39.04,66.14,48.29,53.225,90.34
2015-01-06 00:00:00-05:00,51.45,56.85,49.21,54.19,57.18,27.27,127.51,13.69,76.96,56.504,20.16,108.02,94.18,76.16,84.28,84.16,57.49,84.2,76.15,22.53,135.74,24.0599,184.59,103.25,69.73,40.47,43.03,37.407,45.55,26.84,32.88,61.72,26.09,164.6,139.46,64.66,69.86,196.95,39.27,64.6,47.68,52.06,89.78
2015-01-07 00:00:00-05:00,51.42,59.15,45.14,54.47,56.94,27.5,129.46,14.03,78.15,58.132,20.29,107.94,92.01,76.44,84.79,84.5,57.77,81.51,76.12,22.84,135.14,24.08,187.3,105.56,69.29,40.8,43.27,38.648,45.8,27.18,32.1099,61.78,26.245,167.33,137.92,66.65,70.97,199.39,39.73,65.53,47.31,52.39,90.72
2015-01-08 00:00:00-05:00,53.66,67.63,49.23,54.34,58.73,28.205,131.81,14.58,88.71,10.46,20.465,110.303,96.41,77.38,86.14,84.8,59.83,86.9,78.19,23.375,138.39,24.369,190.17,106.38,70.93,41.84,44.64,39.24,46.335,27.73,33.66,63.61,26.8,171.09,141.46,67.69,74.2,202.97,41.185,66.5399,49.98,53.55,92.2
2015-01-09 00:00:00-05:00,52.038,65.78,48.82,53.33,59.02,27.745,131.56,14.64,87.7,10.546,19.86,108.25,99.51,76.52,85.56,84.96,60.43,85.19,77.75,23.45,138.99,24.04,187.39,104.96,69.94,40.8,44.52,39.013,45.95,27.66,33.526,61.89,27.16,169.77,142.57,67.09,74.08,201.465,40.35,65.35,48.66,52.69,92.11
2015-01-12 00:00:00-05:00,48.1,58.12,43.55,52.37,59.7,27.855,130.88,14.58,77.33,59.56,19.33,91.55,95.04,76.52,84.46,85.05,59.15,82.32,76.71,23.06,137.94,23.98,185.15,104.6,69.39,40.2501,44.04,37.31,46.365,26.23,31.65,58.59,26.69,169.32,135.01,65.49,72.32,201.12,39.095,65.87,47.385,52.056,90.41
2015-01-13 00:00:00-05:00,50.39,63.4,48.29,51.88,60.99,27.745,131.15,14.51,86.3599,59.844,17.734,104.24,97.01,76.47,84.34,85.46,58.89,85.07,76.44,21.06,137.76,23.85,184.9,104.74,69.37,40.47,43.98,37.687,45.45,25.9,30.84,57.95,26.87,163.79,137.92,65.07,72.82,204.02,38.85,66.41,45.97,51.82,90.0
2015-01-14 00:00:00-05:00,49.41,63.64,47.46,51.37,59.5,27.68,130.42,14.5,86.08,57.796,18.89,103.9,100.65,76.44,83.03,85.68,58.5,85.63,76.27,18.74,137.36,23.775,180.27,103.98,69.75,39.44,45.01,39.243,45.52,25.97,30.05,57.79,26.98,162.59,142.25,64.54,71.6,204.02,39.85,64.04,44.88,51.22,89.73
2015-01-15 00:00:00-05:00,47.93,56.0,42.64,50.4,58.08,27.12,130.16,14.31,84.33,10.246,18.93,88.77,100.53,77.16,82.03,86.75,57.83,86.53,74.05,18.32,137.72,23.59,178.7,102.54,69.76,38.91,44.45,38.757,45.43,25.46,29.3,56.77,26.55,158.46,141.32,64.36,71.32,203.76,40.08,63.84,44.07,50.74,88.97
2015-01-16 00:00:00-05:00,48.32,57.47,47.66,51.1,58.515,27.33,130.78,14.46,75.24,59.54,18.72,105.1,105.0,77.75,82.51,87.32,60.69,90.3,75.18,19.23,139.05,23.59,177.28,103.92,70.68,39.49,44.84,39.64,45.98,26.6,28.9849,58.27,26.31,160.41,149.97,65.8,73.84,203.99,40.37,65.0,45.38,51.66,91.08
2015-01-20 00:00:00-05:00,51.17,56.5,42.63,50.65,57.8,27.255,131.24,14.34,83.94,60.654,18.725,92.06,105.67,78.37,82.95,87.68,59.65,89.35,76.23,19.26,138.08,23.85,175.56,101.19,72.02,40.785,45.26,39.14,47.64,25.93,29.66,58.31,24.67,161.93,147.42,68.06,75.56,203.77,40.32,68.09,46.5,52.01,91.08
2015-01-21 00:00:00-05:00,52.06,55.83,43.09,50.85,58.58,27.32,132.44,14.4,76.6,60.442,17.51,108.14,108.55,79.29,83.27,88.72,61.61,90.55,76.715,19.84,138.87,24.05,177.24,101.94,72.25,41.86,46.18,39.513,48.175,26.58,30.48,59.72,25.48,158.89,152.95,68.86,77.3,204.93,40.72,69.19,47.18,52.12,91.89
2015-01-22 00:00:00-05:00,55.58,62.99,43.43,52.29,59.55,27.89,135.66,14.93,86.83,10.904,19.14,94.17,106.49,78.74,84.48,88.68,61.25,90.36,77.65,20.02,141.22,24.29,182.21,103.77,72.5,45.35,46.53,39.997,48.67,26.82,30.9,58.83,25.09,156.23,152.47,70.61,79.32,205.91,41.12,72.36,48.01,53.76,92.88
2015-01-23 00:00:00-05:00,55.69,62.42,47.87,51.52,56.82,27.785,134.63,14.85,85.61,60.35,17.669,92.38,106.72,79.09,84.13,88.71,60.16,90.8,77.84,19.24,141.31,24.48,180.57,102.18,72.11,45.77,46.54,39.77,47.94,26.53,30.95,57.14,25.03,156.92,152.86,73.39,80.87,208.23,41.275,73.08,50.16,53.26,90.87
2015-01-26 00:00:00-05:00,53.79,55.95,43.62,51.2,57.14,27.945,134.08,14.96,77.19,60.768,19.33,108.83,110.71,78.94,83.65,88.54,61.72,92.33,77.49,19.54,140.02,24.58,180.47,102.18,72.09,46.39,46.78,39.983,48.34,27.27,31.015,57.73,25.53,157.54,155.04,73.14,82.46,208.54,41.31,73.62,51.2,53.57,91.75
2015-01-27 00:00:00-05:00,51.12,63.09,43.61,50.47,56.4,29.85,132.68,14.75,71.65,61.238,19.09,108.28,112.61,79.0,84.64,88.71,62.1,90.76,75.79,18.3772,137.2,24.38,176.57,102.129,71.75,45.89,45.785,39.603,48.62,26.98,29.65,57.7,25.34,155.95,155.17,73.76,81.5,203.45,41.06,71.79,51.22,52.98,90.931
2015-01-28 00:00:00-05:00,49.11,55.07,42.9,49.22,55.34,29.68,139.94,14.59,80.02,60.19,17.454,89.67,106.46,77.88,82.86,87.88,58.42,88.11,76.27,17.42,136.41,23.86,173.1,101.49,70.99,45.81,45.71,39.723,47.7,25.54,29.09,53.53,24.615,153.49,144.62,75.68,81.82,202.53,40.17,70.77,51.52,52.18,87.95
2015-01-29 00:00:00-05:00,50.68,56.2,47.95,49.26,47.75,29.68,147.79,14.86,80.0,10.886,19.32,89.06,106.46,79.14,83.98,89.4,58.74,88.92,78.0,16.835,134.49,24.08,175.94,102.41,72.08,47.01,45.85,40.253,48.22,25.56,29.71,53.24,24.44,153.99,146.23,75.84,84.19,206.2,40.21,73.53,52.07,52.77,87.57
2015-01-30 00:00:00-05:00,47.61,53.74,46.64,48.82,48.25,29.715,145.48,14.8,79.96,61.042,19.015,102.41,110.85,76.91,82.4,87.16,60.27,86.89,75.92,16.81,133.21,23.89,172.46,100.2,71.98,45.19,45.13,38.98,48.69,26.62,29.26,54.42,24.66,151.68,150.53,73.88,83.05,205.55,39.03,69.37,52.86,51.94,87.31
2015-02-02 00:00:00-05:00,47.26,54.05,48.18,50.45,47.94,29.9,146.28,14.61,72.53,10.816,19.2,91.7,115.98,77.71,83.74,86.98,62.84,92.53,74.98,17.46,136.11,24.2,175.5,100.83,71.67,44.54,44.76,39.19,49.08,27.905,28.43,56.38,25.21,152.39,157.01,68.71,82.01,206.9,39.55,69.37,54.42,52.82,89.56
2015-02-03 00:00:00-05:00,46.08,61.64,48.74,51.34,49.38,30.445,147.33,14.65,83.93,60.156,19.585,109.53,115.69,78.56,84.99,86.76,64.05,96.3,75.38,18.985,138.96,24.47,180.25,102.44,70.88,43.24,45.59,38.893,50.11,28.78,28.945,54.05,26.05,151.24,161.48,68.52,82.27,207.78,38.85,68.04,54.37,53.44,92.25
2015-02-04 00:00:00-05:00,49.45,56.9,41.69,51.52,48.84,30.56,147.25,14.96,73.53,59.408,18.94,93.68,109.76,77.61,84.33,85.98,63.92,95.19,75.62,18.29,138.54,24.16,178.85,101.33,70.22,44.64,46.32,39.577,49.325,27.99,29.02,52.33,26.05,151.46,157.61,68.33,82.27,209.8,39.24,71.71,54.28,53.02,91.45
2015-02-05 00:00:00-05:00,47.45,51.64,48.68,51.61,49.76,30.64,148.6,15.13,74.98,59.866,21.23,94.51,113.03,78.71,85.48,86.73,64.97,96.18,75.62,19.57,138.68,24.49,180.59,102.45,71.4,44.47,49.06,39.457,49.77,28.37,29.49,53.23,26.33,155.01,158.55,67.39,81.4,211.03,40.0,69.59,55.02,53.66,92.36
2015-02-06 00:00:00-05:00,46.8,56.89,47.57,52.09,51.08,30.715,148.08,14.73,74.66,10.526,21.88,109.64,114.47,75.68,84.77,83.11,65.27,95.8,74.4502,18.86,139.29,24.53,183.33,101.07,70.43,44.15,48.64,39.04,49.69,27.97,28.9,51.44,25.27,150.32,156.65,65.85,81.44,212.13,39.76,67.54,54.85,54.43,91.49
2015-02-09 00:00:00-05:00,46.53,55.47,42.8,52.13,52.135,30.68,147.55,14.44,75.97,10.54,22.17,95.48,112.03,75.21,84.44,82.68,64.72,95.94,74.44,19.51,136.95,24.63,182.11,99.75,69.59,43.26,47.88,38.643,50.475,28.3,28.34,52.77,26.04,147.85,154.09,63.73,79.08,207.79,39.76,64.58,54.45,54.19,91.53
2015-02-10 00:00:00-05:00,48.05,56.87,42.98,52.41,52.18,31.05,148.08,14.71,75.28,59.596,20.46,95.26,110.26,76.66,85.45,84.17,64.14,95.23,75.18,18.7,138.13,24.71,184.58,100.33,70.45,43.77,48.89,39.487,50.77,28.37,31.1,52.34,26.55,149.89,152.97,65.03,81.63,207.88,40.7,67.63,55.51,54.55,90.9829
2015-02-11 00:00:00-05:00,46.26,56.69,42.38,52.25,53.21,31.115,147.9,14.58,83.39,59.738,20.47,95.09,110.96,74.11,85.64,81.83,64.6,90.96,76.51,18.6045,137.14,24.76,187.62,100.38,69.95,43.5,48.86,39.667,51.2,28.07,31.02,51.89,25.78,147.76,146.98,64.76,82.34,206.77,40.23,67.09,55.34,53.89,90.6
2015-02-12 00:00:00-05:00,47.88,57.05,47.43,52.41,53.96,31.33,148.05,14.73,83.52,10.792,22.03,96.79,115.61,73.71,86.58,81.06,65.76,94.79,76.22,19.47,138.12,24.88,189.67,98.42,70.52,43.49,49.975,39.833,52.03,28.78,31.95,52.545,25.46,150.64,148.07,66.18,82.41,206.61,40.78,67.38,56.56,54.83,92.36
2015-02-13 00:00:00-05:00,47.04,51.69,43.71,53.91,54.61,31.38,149.73,14.98,76.38,10.75,20.54,98.47,117.11,72.8951,86.82,79.83,66.4599,96.9,75.72,20.3,137.6,25.14,189.0,99.59,70.57,43.29,50.725,39.247,52.32,29.49,31.85,53.36,25.36,150.89,157.91,70.04,81.83,208.56,40.71,66.2,58.6,55.32,93.36
2015-02-17 00:00:00-05:00,48.01,58.75,43.41,54.97,54.77,31.255,149.87,14.84,76.61,59.608,22.29,112.41,118.1,73.18,86.81,79.39,66.5898,96.43,75.6,20.97,138.0,25.15,190.0,100.355,71.54,42.6,50.9,39.57,51.9925,29.63,32.32,55.14,24.97,151.89,157.66,69.43,82.73,208.14,40.62,64.981,58.7,55.35,92.97
2015-02-18 00:00:00-05:00,49.3,52.75,43.35,54.84,54.86,31.485,151.22,16.69,84.8,59.208,20.79,96.43,118.28,74.675,87.45,80.95,63.96,95.28,76.71,21.29,138.64,25.255,188.7,99.93,71.025,43.55,50.71,40.093,52.65,29.03,32.16,55.87,25.91,150.6,156.95,67.54,82.56,209.05,41.11,66.62,59.27,54.51,90.99
2015-02-19 00:00:00-05:00,48.39,52.53,43.42,54.98,54.45,31.465,153.82,16.45,83.28,10.856,22.07,94.6,118.28,73.79,87.26,79.18,64.4,93.83,79.43,21.1,139.52,25.0,189.2,100.73,71.13,43.75,50.52,40.38,53.02,29.03,31.8,54.24,25.35,151.6,160.14,65.29,83.06,211.76,41.34,66.09,60.18,54.57,89.47
2015-02-20 00:00:00-05:00,49.59,61.28,43.75,55.21,55.47,31.645,158.31,16.47,75.76,10.998,22.25,108.58,117.21,73.99,87.69,78.7,63.8,91.08,79.89,21.28,142.25,25.19,191.48,100.25,71.88,44.78,50.93,40.417,53.075,28.48,32.02,54.4668,25.37,151.37,158.73,65.17,84.31,213.68,41.67,68.03,60.71,54.82,89.92
2015-02-23 00:00:00-05:00,51.31,53.93,48.27,54.55,55.6,31.71,154.68,16.305,74.91,62.558,20.93,94.17,117.06,73.9,86.87,79.25,63.94,91.94,78.83,20.58,141.26,25.17,190.41,100.18,71.1,44.68,50.62,40.71,52.96,28.54,31.39,54.3,25.33,152.04,156.14,65.03,86.01,222.65,41.46,68.8299,62.47,55.11,88.99
2015-02-24 00:00:00-05:00,50.08,54.2,48.64,55.06,56.07,31.665,154.43,16.64,84.53,62.37,22.32,94.26,113.32,74.08,87.02,79.86,64.83,91.64,78.45,21.23,141.69,25.4,192.26,100.69,70.88,45.35,51.52,41.603,53.19,28.85,30.78,54.64,25.87,153.44,157.44,69.35,88.18,225.44,41.49,70.91,61.6,55.39,89.42
2015-02-25 00:00:00-05:00,49.73,53.98,48.1,54.81,56.33,31.465,153.02,16.91,76.4,61.44,20.89,94.8,116.82,72.68,87.21,79.01,65.46,90.79,79.56,21.49,140.14,25.91,191.72,101.18,70.35,44.1228,51.34,41.267,53.53,29.075,30.48,54.74,25.38,152.74,160.33,67.21,87.74,223.44,41.295,68.7,61.265,55.33,89.58
2015-02-26 00:00:00-05:00,47.97,60.53,43.21,54.94,56.32,31.75,151.72,16.83,83.81,61.324,22.17,107.1,112.93,71.94,87.82,78.56,62.57,87.96,80.4,21.1,139.45,25.9,192.25,102.83,70.03,44.08,51.46,41.577,53.2,27.99,30.61,53.27,24.77,155.14,156.03,71.54,88.59,221.54,40.88,67.39,61.98,55.16,88.65
2015-02-27 00:00:00-05:00,46.56,60.5,43.51,55.33,56.55,31.515,150.85,16.89,74.38,61.202,21.07,93.14,108.96,72.07,87.29,78.55,61.6,87.56,78.96,21.635,138.78,25.99,189.85,102.51,70.17,43.24,51.26,47.063,53.29,27.86,30.66,54.36,23.98,154.48,152.52,69.39,87.72,216.95,41.305,65.13,61.7,54.8,88.5401
2015-03-02 00:00:00-05:00,48.31,53.83,47.85,55.62,56.79,32.22,153.79,17.065,74.47,62.296,23.01,105.87,113.93,70.27,87.44,77.02,60.85,86.92,79.74,21.13,139.78,26.1,191.68,103.19,71.11,44.21,52.42,47.073,53.52,27.66,31.24,55.79,23.39,157.55,154.7,69.35,91.14,217.96,42.17,66.7702,58.68,55.53,88.02
2015-03-03 00:00:00-05:00,47.41,59.63,47.51,55.595,56.78,31.605,155.57,16.76,74.33,62.278,22.75,105.17,114.78,70.96,87.06,77.495,61.26,90.35,79.6,20.99,137.1,25.8501,191.26,102.32,70.35,43.95,51.44,46.907,52.59,27.74,29.67,54.43,24.14,156.205,159.53,70.84,88.74,217.7,42.39,68.97,60.08,55.43,87.63
2015-03-04 00:00:00-05:00,47.58,53.67,42.78,55.38,55.4,31.69,154.42,16.79,73.33,10.876,22.69,105.1523,114.16,70.615,86.11,77.03,61.85,90.49,80.89,20.88,136.27,25.66,189.67,101.62,70.68,44.0076,51.48,46.513,51.9,27.61,29.27,54.76,24.38,158.0,163.06,72.02,90.16,215.35,41.39,68.66,59.1,54.81,87.1899
2015-03-05 00:00:00-05:00,48.4,50.63,47.46,55.63,55.28,31.73,154.47,16.97,73.14,10.816,23.05,104.75,113.45,71.18,86.34,77.59,60.82,89.6,81.21,20.18,136.37,25.8,190.0,102.54,70.61,44.1,50.87,46.673,50.38,27.34,29.27,53.59,25.07,160.01,160.44,74.5,91.56,215.33,40.57,67.91,59.96,54.83,86.72
2015-03-06 00:00:00-05:00,48.0,49.54,42.03,56.0038,54.81,31.52,153.16,16.56,80.07,59.638,22.54,103.53,111.11,69.56,85.22,74.95,59.18,88.56,80.005,19.435,134.61,25.42,186.92,100.09,68.42,43.31,50.75,45.54,49.03,26.77,28.49,52.54,24.475,156.81,156.2,72.99,90.75,213.05,40.65,66.65,58.74,54.59,85.61
2015-03-09 00:00:00-04:00,46.58,49.45,42.15,56.1,54.88,31.82,154.75,16.61,80.81,60.835,23.17,103.94,110.49,69.57,86.06,74.76,58.05,87.71,79.44,19.615,135.92,25.66,187.83,100.66,69.57,43.4,51.34,45.73,49.31,26.29,28.65,51.65,23.74,160.19,153.18,74.83,92.11,214.55,40.435,66.15,58.62,54.65,85.16
2015-03-10 00:00:00-04:00,45.43,55.88,41.36,54.44,54.34,31.47,152.5,16.42,71.7,10.448,22.18,102.93,106.55,69.27,84.68,74.74,56.99,84.12,77.56,18.85,132.66,25.18,182.84,99.59,68.78,42.95,49.53,45.31,48.33,25.83,27.61,50.69,23.39,159.0,152.06,72.13,91.2,213.0,39.79,64.6,57.81,53.32,84.31
2015-03-11 00:00:00-04:00,46.07,56.64,45.52,54.72,53.52,31.58,151.2,16.58,71.51,58.126,22.01,103.57,107.8,68.76,84.3766,74.29,57.84,86.55,77.58,18.82,132.25,25.21,184.24,98.35,68.485,43.84,49.01,45.323,47.84,25.8,27.89,50.14,23.11,161.25,153.16,72.95,92.21,214.3,37.54,66.0,57.75,53.7,84.03
2015-03-12 00:00:00-04:00,47.32,51.64,42.38,55.6,53.63,31.525,152.0,16.89,80.19,58.344,22.48,102.4,106.76,69.82,85.57,75.27,57.17,83.65,78.93,18.89,133.67,25.39,189.91,99.81,69.55,44.99,49.7,45.95,47.73,25.61,28.01,49.81,23.26,166.47,153.23,73.42,92.85,216.26,37.56,67.74,57.78,55.59,84.22
2015-03-13 00:00:00-04:00,49.2101,51.64,42.07,55.3,52.95,31.02,151.57,16.61,79.25,58.564,20.77,88.73,105.49,68.95,85.19,74.58,57.7,85.4,78.04,18.14,132.25,25.03,189.45,99.23,69.88,44.485,49.52,45.157,46.81,25.77,28.72,49.07,23.485,166.48,154.64,72.54,92.93,214.8,37.41,67.56,58.54,55.32,83.91
2015-03-16 00:00:00-04:00,50.22,52.64,46.48,55.93,52.73,31.39,153.68,17.24,71.75,58.578,22.4,90.04,108.28,69.97,86.79,75.71,58.74,87.89,78.06,17.96,134.93,25.45,191.92,101.06,71.06,45.5,50.43,46.013,46.9,26.015,28.5,48.67,23.78,171.75,156.99,76.301,96.78,217.14,38.1,67.89,59.65,55.74,84.76
2015-03-17 00:00:00-04:00,53.69,59.71,42.03,55.8,52.48,31.575,154.51,17.41,78.45,57.886,22.95,103.23,105.84,69.99,86.28,75.07,58.0447,84.71,79.37,17.42,134.1,25.33,190.62,99.87,70.85,46.235,49.71,45.427,47.28,25.57,27.66,47.47,24.31,172.41,156.58,77.71,97.3,216.49,38.7,69.08,59.88,55.9,84.09
2015-03-18 00:00:00-04:00,54.12,59.91,42.86,56.42,52.75,32.51,155.72,17.77,72.97,10.514,23.23,106.7,107.4,71.92,87.29,76.4,60.22,90.65,80.91,18.23,136.1,25.64,192.16,101.44,73.53,45.73,50.2,45.57,47.55,26.325,28.15,48.58,25.34,173.76,158.26,79.97,97.12,216.45,39.6,68.07,61.94,56.15,86.055
2015-03-19 00:00:00-04:00,53.65,54.48,46.5,55.66,51.65,32.135,154.09,17.821,80.09,58.014,21.57,104.8,106.22,71.6,87.03,76.01,58.26,89.5301,82.74,17.265,135.31,25.33,190.06,101.77,74.23,46.36,50.31,46.09,46.32,25.68,28.04,47.89,24.61,170.38,158.75,80.39,99.57,214.75,39.835,70.11,60.81,55.52,84.42
2015-03-20 00:00:00-04:00,54.2,60.39,42.66,55.99,52.22,32.255,154.52,17.845,81.08,58.052,23.635,107.01,108.17,72.15,87.16,76.68,58.66,88.5,83.79,18.4,135.96,25.41,193.13,102.39,76.1,46.355,50.87,45.823,46.5,26.17,28.64,49.705,25.45,172.87,163.55,80.78,102.04,215.75,40.21,69.97,61.52,56.03,84.54
2015-03-23 00:00:00-04:00,52.88,53.85,47.13,55.83,51.93,31.99,152.82,17.99,81.09,58.0,24.42,92.48,105.71,72.18,86.78,76.79,57.95,89.0,84.45,19.34,135.87,25.47,192.02,102.9,76.36,45.45,50.38,45.967,46.87,25.91,28.0101,49.36,25.74,166.38,159.03,84.03,101.73,215.86,39.78,67.56,62.49,55.78,85.38
2015-03-24 00:00:00-04:00,53.92,53.1,46.97,55.385,52.01,32.065,151.62,17.83,72.21,10.522,24.49,104.2,106.25,71.45,85.95,76.05,57.85,88.87,85.31,19.19,135.16,25.29,191.38,101.96,75.56,44.91,49.62,46.233,46.93,25.89,27.95,48.51,25.295,165.88,158.01,83.2,101.46,215.13,38.71,67.57,62.08,55.36,84.5
2015-03-25 00:00:00-04:00,50.56,51.84,42.45,54.52,51.165,31.73,148.19,17.52,71.66,58.768,24.37,92.26,108.49,70.71,84.35,74.96,59.64,87.8,82.94,19.1,133.74,24.9199,187.467,100.3501,74.36,43.71,48.08,45.34,46.51,26.42,26.57,49.04,24.755,163.05,162.06,77.13,95.57,214.01,38.3,65.56,63.8,54.55,84.8598
2015-03-26 00:00:00-04:00,51.26,50.99,46.31,54.18,50.98,31.96,148.15,17.44,79.88,58.85,23.95,105.27,111.85,70.36,84.34,74.36,60.06,89.16,83.02,19.51,134.58,24.81,187.3,100.12,73.465,43.17,48.2,45.527,46.72,26.38,26.66,48.94,24.66,164.42,164.08,77.18,93.04,215.23,38.17,64.97,63.37,54.49,84.31
2015-03-27 00:00:00-04:00,52.64,57.64,46.47,54.01,51.54,32.43,148.82,17.82,79.645,57.694,24.325,91.05,112.84,70.38,84.85,74.98,59.15,90.54,83.31,18.79,135.01,24.85,188.01,100.31,73.57,44.24,49.21,46.0,46.03,25.91,26.68,49.24,24.2,165.95,163.54,79.27,98.83,217.92,38.15,67.79,61.85,54.11,83.56
2015-03-30 00:00:00-04:00,53.64,58.25,43.09,54.69,52.42,32.885,152.65,18.06,81.4,58.196,22.54,93.34,115.0,71.15,85.6,75.9,60.71,92.14,83.2,19.38,137.46,25.12,190.91,101.53,73.88,44.57,49.9,46.817,47.36,26.44,26.67,49.81,24.9,168.31,166.5,81.4,100.12,219.93,38.5,68.17,63.76,54.76,85.6
2015-03-31 00:00:00-04:00,51.3,58.5199,43.07,54.79,52.83,32.845,150.08,17.75,71.81,56.744,22.63,91.66,115.96,70.86,84.88,76.77,60.3,91.67,82.22,18.955,135.76,24.81,188.11,100.6,72.66,44.2951,48.92,46.14,46.05,26.09,27.1201,49.97,25.18,165.63,163.52,79.7,98.3,218.82,38.3,67.25,63.6,54.45,84.94
2015-04-01 00:00:00-04:00,49.03,50.84,43.1,54.81,52.58,32.62,148.65,17.64,79.65,10.134,24.2,91.49,118.11,71.53,83.9,76.84,61.57,91.19,81.68,18.97,133.99,24.86,192.26,99.12,71.52,43.46,48.31,45.54,45.47,26.65,27.14,49.93,23.6,163.94,166.91,78.79,96.81,218.66,38.4,64.045,63.46,53.95,84.455
2015-04-02 00:00:00-04:00,47.81,50.76,43.03,55.15,52.9,32.685,149.28,17.72,80.24,9.994,23.7701,105.23,119.35,71.58,84.18,76.95,62.54,90.48,81.56,19.01,133.69,24.94,191.6,99.64,71.24,42.85,48.17,45.21,45.87,27.08,26.72,51.01,23.98,163.68,171.03,77.82,96.5,220.23,38.63,61.8745,59.8,54.36,84.28
2015-04-06 00:00:00-04:00,48.08,51.3,43.92,55.44,55.02,32.795,150.95,17.68,81.495,10.034,24.02,93.35,121.14,72.705,84.96,78.26,63.43,94.88,82.45,19.16,135.53,25.19,192.09,99.19,71.3,41.09,48.32,45.903,45.88,27.88,27.42,52.7,24.5,165.08,173.55,76.52,95.47,219.81,38.93,60.13,59.52,54.1,85.14
2015-04-07 00:00:00-04:00,47.49,52.02,48.18,54.97,55.23,32.395,152.27,17.68,72.27,10.03,23.62,108.45,120.99,71.94,85.32,77.58,63.31,94.28,82.32,18.975,134.97,25.01,192.3244,100.13,71.7,41.32,48.925,45.837,45.85,28.16,26.86,52.77,24.89,164.72,171.8,73.23,96.78,220.99,39.05,59.6,58.57,54.02,85.72
2015-04-08 00:00:00-04:00,47.38,52.37,43.92,55.45,55.92,32.48,153.36,17.89,80.43,57.01,22.04,106.66,119.75,71.75,85.37,77.29,63.04,94.04,82.275,18.83,135.25,25.01,192.56,100.14,72.16,42.85,48.92,45.93,46.0,27.95,27.13,52.74,24.9,194.81,170.4,72.85,97.47,220.57,38.66,60.61,58.5948,53.985,84.07
2015-04-09 00:00:00-04:00,46.5,53.71,43.53,56.28,59.02,32.355,153.5,18.1,80.68,56.98,23.49,106.96,122.2,71.35,85.47,77.0,64.95,93.41,82.17,18.79,135.79,25.7462,194.93,101.33,72.37,42.82,49.39,45.867,46.0,28.77,27.81,54.55,24.61,198.54,174.54,74.62,99.84,221.93,38.68,61.17,58.9,54.18,84.64
2015-04-10 00:00:00-04:00,47.75,55.21,43.58,56.6,58.755,32.49,154.39,18.09,74.11,56.894,21.75,93.34,120.87,71.9,84.97,77.85,64.85,96.58,82.03,18.3,135.86,28.52,195.61,102.06,73.93,42.82,50.01,46.113,45.84,29.19,28.02,54.42,24.56,198.66,172.52,73.58,99.63,223.0,39.38,61.03,59.73,54.31,85.54
2015-04-13 00:00:00-04:00,46.45,61.21,47.87,57.47,58.39,32.23,153.23,17.8,73.7,56.818,21.93,106.55,119.38,71.06,85.23,77.21,64.59,94.69,83.02,18.27,134.72,27.63,195.53,100.65,73.54,42.75,49.55,45.937,45.6,28.9,27.88,53.16,24.59,202.32,172.07,72.63,98.57,222.83,39.22,61.02,57.46,54.6199,85.36
2015-04-14 00:00:00-04:00,46.09,61.72,48.02,57.5,58.97,32.81,153.23,17.9,83.01,56.506,24.78,95.03,122.26,71.67,85.49,77.6,66.16,96.46,83.51,18.97,133.08,27.72,197.74,100.55,73.465,42.52,48.8,45.273,45.62,29.41,27.73,54.36,24.36,203.66,176.1,70.51,95.63,222.19,39.89,60.24,57.22,54.19,86.64
2015-04-15 00:00:00-04:00,47.75,62.02,43.98,58.28,59.32,32.86,152.39,18.03,76.41,10.224,23.28,110.37,125.04,72.4,85.6,78.015,66.92,97.94,82.71,20.66,132.59,27.45,201.09,100.58,73.695,41.87,50.11,45.9,45.94,30.69,28.175,55.97,25.14,203.4,179.86,70.91,96.22,222.32,39.585,60.99,57.08,54.79,88.03
2015-04-16 00:00:00-04:00,46.89,56.19,43.89,58.17,58.75,32.62,152.02,18.16,76.3,10.448,23.37,110.16,125.59,71.78,85.45,77.33,66.58,95.81,82.31,20.83,133.155,27.29,200.36,99.79,73.5,42.25,50.26,45.997,46.02,30.71,28.02,55.28,25.11,199.13,180.185,71.43,95.68,222.0,39.345,62.2,58.23,54.83,87.73
