,ACN,AMAT,BBY,BLL,CME,CRM,CSCO,DIS,EA,EQR,EXR,HAS,HD,HPQ,ILMN,INTC,IRM,JNPR,KSS,LOW,MSFT,NKE,NVDA,PAYX,PLD,SNPS,STX,TJX,TSCO,VTR,WDC,WELL,WM
2008-01-02 00:00:00-05:00,36.05,17.41,51.22,2.531,134.798,15.118,26.54,31.82,56.76,21.18,13.93,25.01,26.11,49.62,29.75,25.34,35.87,32.1,44.89,22.17,35.23,15.8,32.97,34.98,56.43,25.19,24.5,7.0,8.535,44.43,28.59,45.14,32.26
2008-01-03 00:00:00-05:00,35.49,17.1,49.18,2.499,17.274,15.225,26.75,27.71,56.14,34.84,13.51,24.68,25.82,49.7,29.5,24.68,35.99,32.47,43.14,21.76,35.37,15.65,32.73,35.14,52.92,24.89,24.48,6.96,8.263,43.22,28.37,44.31,32.26
2008-01-04 00:00:00-05:00,34.87,16.75,47.65,2.483,124.856,14.715,26.08,31.14,54.51,33.33,13.26,23.74,24.94,46.86,28.555,22.6,35.0,31.14,40.85,21.05,34.36,15.438,29.98,33.97,51.03,24.73,23.3,6.815,7.973,41.2,25.63,43.08,31.05
2008-01-07 00:00:00-05:00,33.89,16.73,47.09,2.451,122.626,3.608,26.12,31.18,53.89,33.91,13.2,23.71,25.36,45.38,28.405,22.88,35.02,30.7,41.27,21.1,34.65,15.533,26.89,34.72,51.31,24.39,23.1,6.88,8.118,41.76,25.3,43.15,31.57
2008-01-08 00:00:00-05:00,33.95,16.32,45.56,2.404,15.884,3.421,25.44,30.48,53.5,33.0,12.78,23.36,24.7,43.09,28.4,22.27,34.41,30.39,39.74,20.52,33.46,15.425,27.44,33.56,50.57,23.59,22.12,6.638,7.938,41.1,23.43,42.2,31.72
2008-01-09 00:00:00-05:00,33.78,16.64,46.48,10.645,15.946,13.605,26.21,30.12,53.25,33.65,13.0,22.79,24.78,44.41,30.26,22.74,34.24,30.79,40.84,20.68,34.44,15.473,28.81,33.49,50.13,23.22,23.47,6.653,7.895,41.93,24.77,43.42,31.16
2008-01-10 00:00:00-05:00,33.66,16.42,46.55,2.485,122.36,3.468,26.24,30.69,53.85,19.85,13.1,23.3,25.29,45.3,35.025,22.54,34.25,30.69,40.22,20.77,34.32,15.618,28.29,33.88,51.36,23.42,23.71,7.115,8.047,43.05,25.38,44.02,31.64
2008-01-11 00:00:00-05:00,32.8,16.41,44.25,2.497,16.406,3.406,25.84,30.32,52.75,19.56,13.2,22.37,24.68,44.92,35.25,21.97,33.79,26.62,38.35,20.28,33.92,15.185,27.02,33.81,51.48,23.19,22.93,7.063,7.603,42.61,23.98,44.12,31.23
2008-01-14 00:00:00-05:00,33.5,16.83,44.72,2.552,124.666,13.913,26.28,30.36,53.32,33.71,13.35,22.48,25.4,46.15,35.09,23.11,33.56,28.2,38.8,20.83,34.39,15.158,28.87,32.99,51.99,23.7,23.72,7.153,7.818,42.49,25.17,43.91,32.27
2008-01-15 00:00:00-05:00,33.52,16.95,44.06,11.063,119.79,13.58,25.84,26.04,51.47,19.06,12.98,21.76,25.33,45.0,34.99,22.7,32.97,27.56,38.37,20.75,34.0,14.27,26.74,33.08,50.86,23.68,23.34,7.083,7.64,41.53,25.29,43.0,31.81
2008-01-16 00:00:00-05:00,34.1,17.41,45.05,10.973,115.352,13.613,25.12,26.02,49.96,33.36,13.37,23.04,26.33,44.3,34.55,19.86,33.32,27.36,39.54,21.6,33.21,14.42,23.66,33.65,52.22,23.79,22.9,7.155,7.84,41.81,24.69,42.38,31.6
2008-01-17 00:00:00-05:00,33.41,17.52,43.83,2.391,109.08,13.395,24.39,28.79,50.67,33.09,13.49,22.39,26.27,42.96,34.0,19.33,32.36,26.58,39.2,21.82,33.03,13.998,23.3,33.01,50.16,23.41,21.6,7.258,7.558,41.73,23.67,41.75,30.62
2008-01-18 00:00:00-05:00,33.77,18.03,44.21,2.393,112.468,12.99,24.31,28.54,49.42,32.74,13.29,22.84,26.3,43.8,33.925,19.02,32.16,26.52,40.05,22.22,33.06,14.143,24.83,33.23,49.33,23.82,19.72,7.213,7.375,40.1,23.63,40.96,29.98
2008-01-22 00:00:00-05:00,33.3,18.0,45.35,2.393,116.458,13.05,23.5,24.53,49.49,34.02,13.38,24.03,28.25,42.66,32.665,18.66,32.16,25.63,42.81,24.51,31.98,14.345,23.71,32.19,49.42,23.22,20.03,7.425,7.613,41.64,24.12,41.89,29.15
2008-01-23 00:00:00-05:00,33.1,18.07,46.9,2.452,122.0,13.7,24.11,28.54,48.07,21.82,14.25,24.89,29.95,43.07,32.9,19.9476,32.43,24.4,44.05,25.99,32.0,14.433,24.02,33.37,54.26,22.66,19.77,7.938,8.5,44.33,24.71,44.06,30.52
2008-01-24 00:00:00-05:00,33.86,17.96,46.98,2.402,16.87,14.113,25.07,25.5,49.33,37.42,14.09,24.72,29.56,44.93,32.71,20.68,33.29,26.34,43.07,25.44,33.24,14.335,25.87,33.09,52.99,23.02,20.96,7.768,8.22,44.07,26.92,43.6,30.73
2008-01-25 00:00:00-05:00,33.87,17.41,45.3,10.403,16.708,13.278,24.22,25.02,47.33,21.87,14.3,23.96,28.51,43.69,32.15,20.0001,33.37,25.95,41.84,24.74,32.95,13.988,24.96,33.15,52.51,23.04,20.94,7.56,8.263,44.03,26.1,43.51,30.95
2008-01-28 00:00:00-05:00,33.92,17.95,48.06,2.452,124.414,13.368,24.11,25.62,46.19,37.8,15.15,24.55,29.16,43.77,32.58,20.3,33.26,27.2,43.52,25.4,32.72,14.328,24.65,33.7,55.17,23.46,20.83,7.848,8.48,45.0,27.0,44.49,31.34
2008-01-29 00:00:00-05:00,34.49,17.68,48.96,2.503,123.322,3.25,24.06,25.12,45.57,37.76,14.98,24.61,29.69,43.37,32.54,20.53,33.75,26.75,43.49,25.76,32.62,14.33,25.39,34.31,53.17,24.14,20.35,7.943,8.82,43.39,26.93,43.14,31.49
2008-01-30 00:00:00-05:00,34.02,17.88,47.28,2.558,118.956,12.64,24.33,29.38,47.27,21.41,14.64,24.57,29.34,43.48,31.89,20.68,34.15,26.88,43.0,25.31,32.2,14.85,25.16,32.95,49.33,24.05,20.4,7.813,8.415,43.11,26.7,42.41,31.57
2008-01-31 00:00:00-05:00,34.58,17.89,48.91,11.473,123.46,13.03,24.42,26.03,47.37,37.33,15.09,25.95,30.62,43.71,31.79,21.15,34.31,27.11,45.51,26.42,32.54,15.333,24.64,32.69,50.57,22.06,20.29,7.9,9.648,44.12,26.41,42.82,32.41
2008-02-01 00:00:00-05:00,35.04,18.89,48.59,2.641,16.204,3.225,24.93,30.63,48.62,22.53,15.56,26.15,30.4,44.39,33.8,21.78,35.25,27.27,45.85,25.53,30.45,15.613,26.9,33.87,52.4,22.77,20.92,8.025,9.948,44.86,27.93,43.62,33.14
2008-02-04 00:00:00-05:00,34.14,18.49,48.53,2.569,16.442,12.968,23.81,30.89,46.51,22.15,15.29,25.71,29.35,44.09,32.445,21.19,35.06,26.41,44.85,24.8,30.19,15.178,26.02,33.55,52.0,23.18,20.78,7.86,9.77,44.52,28.35,43.37,33.36
2008-02-05 00:00:00-05:00,33.5,18.11,46.21,2.507,15.64,13.165,23.27,30.17,45.41,21.23,14.71,25.6,28.0,42.94,35.75,20.13,34.47,25.5,43.42,24.13,29.07,14.963,24.39,32.64,49.36,22.77,21.25,7.773,9.473,43.12,27.98,42.06,32.25
2008-02-06 00:00:00-05:00,33.74,17.51,46.36,2.518,12.89,11.973,23.0751,31.5,44.34,21.8,14.27,24.76,27.64,42.17,34.385,19.93,34.55,25.11,42.9,23.66,28.52,14.995,24.3,31.99,49.57,22.38,21.12,7.713,9.458,41.49,28.25,40.54,32.52
2008-02-07 00:00:00-05:00,33.23,17.66,47.3,2.527,14.026,12.705,23.383,27.67,44.78,22.43,14.35,25.63,28.43,40.56,33.3,20.06,34.16,24.72,45.77,24.0,28.12,15.2,24.54,32.15,51.1,22.09,21.54,7.813,9.888,42.56,27.2,41.5,32.28
2008-02-08 00:00:00-05:00,33.88,17.94,46.67,2.526,103.886,3.176,23.6,28.02,44.57,37.31,14.07,25.84,27.95,41.92,33.69,20.26,34.88,25.51,44.7,23.58,28.56,15.173,24.99,32.15,50.07,22.27,21.89,7.59,10.118,41.5,28.17,40.71,32.66
2008-02-11 00:00:00-05:00,34.18,18.45,47.34,11.175,104.61,13.673,23.54,31.9,46.35,36.49,13.93,26.38,28.69,42.6,34.43,20.69,34.72,25.86,47.0,24.27,28.19,15.143,25.05,32.42,49.07,22.39,22.35,7.725,10.363,40.42,28.41,39.72,32.16
2008-02-12 00:00:00-05:00,35.1,18.07,46.9,2.564,105.812,3.403,23.44,32.03,48.85,22.44,14.24,26.97,28.38,42.9,34.95,20.91,34.51,25.96,47.18,24.18,28.34,15.325,26.0,33.41,51.07,22.41,22.7,7.668,10.205,41.23,28.95,40.66,33.13
2008-02-13 00:00:00-05:00,35.83,19.91,46.59,2.586,107.0,3.497,24.03,32.78,48.87,22.59,14.6,27.06,28.34,43.94,35.545,21.17,34.74,27.48,46.27,24.15,28.97,15.608,27.02,34.46,51.0,23.12,23.24,7.745,10.323,41.66,29.43,40.95,34.01
2008-02-14 00:00:00-05:00,35.54,19.19,45.77,2.575,106.1,13.788,23.55,28.19,48.43,38.19,14.18,26.4,27.49,43.22,35.425,20.49,35.02,26.83,44.87,23.52,28.52,15.575,22.62,34.19,49.94,23.5,22.53,7.48,10.043,41.42,28.4,40.02,33.87
2008-02-15 00:00:00-05:00,34.6,19.03,44.6,2.569,105.056,3.368,23.29,32.53,48.72,22.44,14.09,26.75,27.54,43.86,36.03,20.12,33.82,26.15,44.69,23.37,28.42,15.555,22.28,33.67,50.65,23.05,22.69,7.495,9.933,42.86,28.89,40.5,33.51
2008-02-19 00:00:00-05:00,34.73,18.48,43.99,2.577,103.756,12.875,22.89,32.2,48.9,22.25,14.52,26.15,27.28,44.08,36.66,20.18,33.21,26.2,43.75,23.15,28.2,15.255,21.93,33.65,49.59,23.47,23.26,7.433,9.685,42.11,29.49,40.27,33.81
2008-02-20 00:00:00-05:00,34.11,19.45,44.61,11.4,104.0,13.258,23.2099,32.58,49.5,39.85,14.97,27.41,27.72,47.47,36.455,20.38,33.66,26.09,46.04,23.35,28.23,15.31,21.8,34.23,49.37,23.02,23.21,7.805,9.68,42.59,30.64,40.93,33.89
2008-02-21 00:00:00-05:00,33.8,19.28,43.74,2.593,103.1,13.405,23.2,28.15,48.95,22.82,14.8,26.75,27.37,46.73,35.865,20.3,33.34,25.68,44.6,23.25,28.12,15.05,21.29,33.9,48.76,23.51,23.37,7.793,9.505,41.75,31.34,40.33,33.4
2008-02-22 00:00:00-05:00,34.02,19.7,44.22,2.606,13.948,3.274,23.59,32.61,49.79,40.07,15.01,26.84,27.81,47.46,36.01,19.85,32.92,26.2,45.11,23.66,27.73,15.175,22.34,33.12,49.25,23.57,23.74,8.12,9.665,42.8,31.25,41.39,33.9
2008-02-25 00:00:00-05:00,34.81,19.64,45.31,11.618,14.104,13.58,23.8,32.85,47.14,41.23,15.42,27.31,28.78,48.15,37.765,19.93,33.03,27.57,45.74,24.48,27.82,15.378,22.32,33.29,51.01,23.86,23.92,8.198,9.93,43.42,33.15,42.25,34.24
2008-02-26 00:00:00-05:00,36.36,19.85,46.48,2.628,105.708,13.205,24.06,28.69,47.93,40.33,15.44,27.87,28.79,49.25,37.225,20.688,33.85,27.53,47.25,24.97,28.4,15.66,22.5,32.84,52.2,24.31,23.72,8.335,10.245,43.25,33.99,42.2,34.44
2008-02-27 00:00:00-05:00,37.06,20.1,46.6,11.545,105.162,13.178,25.01,33.1,47.45,40.05,15.61,27.09,28.84,48.96,37.22,20.77,34.13,29.3,46.84,25.49,28.3,15.605,22.9,32.76,51.97,24.21,23.59,8.203,10.15,42.81,33.93,42.35,34.07
2008-02-28 00:00:00-05:00,36.71,19.83,44.82,2.609,103.5,15.385,24.68,32.54,47.21,38.86,15.21,26.76,27.69,48.52,37.0,20.5,30.58,28.59,45.18,24.69,27.92,15.495,22.03,32.15,51.21,23.68,22.34,8.148,9.795,42.46,32.31,41.43,33.82
2008-02-29 00:00:00-05:00,35.3,19.18,43.07,2.516,102.252,14.928,24.41,32.4,47.29,38.18,15.06,25.74,26.59,47.86,36.255,19.98,30.05,26.87,44.51,23.97,27.22,15.045,21.44,31.49,50.22,23.22,21.61,7.995,9.35,41.74,30.82,41.09,32.86
2008-03-03 00:00:00-05:00,34.89,18.9,43.31,2.563,103.258,14.703,24.41,28.27,47.72,39.12,15.2,25.91,27.09,47.58,36.44,20.03,29.23,25.89,45.38,24.33,26.99,15.03,21.14,31.34,50.22,22.99,21.81,8.163,9.545,42.35,31.23,41.45,33.11
2008-03-04 00:00:00-05:00,34.63,20.33,42.56,10.925,100.658,14.493,24.29,27.8,47.02,38.71,15.24,26.11,26.86,48.42,36.005,20.03,28.39,26.27,44.98,24.05,27.56,15.11,20.93,31.91,49.1,22.97,22.89,8.308,9.525,41.47,31.73,41.31,33.03
2008-03-05 00:00:00-05:00,35.07,20.5,42.78,2.535,103.692,14.705,24.28,27.6,47.53,22.53,15.16,26.67,26.79,48.31,35.705,20.21,29.0,27.25,44.7,23.77,28.13,15.21,21.17,31.85,49.26,23.14,22.85,8.263,9.59,41.65,31.95,41.1,33.84
2008-03-06 00:00:00-05:00,34.72,20.14,40.79,2.515,101.212,3.599,24.02,31.22,46.78,21.34,14.92,25.98,25.77,47.78,33.825,19.91,27.94,25.83,42.62,22.64,27.58,14.875,19.84,30.95,46.81,22.73,21.74,7.853,9.08,40.41,31.38,40.12,32.63
2008-03-07 00:00:00-05:00,33.69,20.13,39.81,2.494,98.328,14.165,24.11,26.83,46.31,37.16,15.03,25.9,25.85,47.26,33.575,20.07,28.05,24.93,42.76,22.4,27.87,14.575,19.55,30.51,47.67,22.55,21.71,7.8,9.095,40.96,30.25,40.83,32.53
2008-03-10 00:00:00-04:00,33.04,20.32,39.78,10.66,12.28,13.985,24.01,26.57,44.69,21.07,15.04,25.34,25.01,46.76,31.065,20.22,27.26,24.59,42.3,21.64,28.06,14.26,18.43,30.49,47.7,22.82,21.25,7.795,8.895,41.07,29.62,40.63,32.6
2008-03-11 00:00:00-04:00,34.08,20.95,41.38,11.063,100.59,14.64,25.15,31.17,47.19,38.88,16.04,26.52,26.2,47.93,33.035,21.2,27.3,25.8,43.52,22.25,29.28,14.483,19.04,31.63,50.05,23.06,21.89,8.155,9.278,43.46,30.95,42.59,33.47
2008-03-12 00:00:00-04:00,33.78,21.0,40.27,2.495,13.268,3.632,25.12,31.41,47.23,38.25,15.6,26.38,26.05,47.22,32.275,21.11,27.23,25.57,42.33,21.79,28.6,14.955,18.47,31.64,50.18,22.43,21.72,8.123,9.275,43.28,30.4,42.3,33.7
2008-03-13 00:00:00-04:00,33.99,21.05,40.67,2.523,13.494,14.735,24.94,27.33,47.26,38.7,15.94,27.04,26.46,47.0,33.5,21.25,27.2,25.6,41.6,21.66,28.62,15.283,19.69,31.48,49.94,22.7,22.1,8.095,9.315,42.91,31.25,43.34,33.44
2008-03-14 00:00:00-04:00,33.35,20.58,40.07,2.468,97.698,14.473,24.34,26.85,46.91,22.74,15.66,26.44,25.81,45.89,33.315,20.66,25.93,24.7,41.4,21.11,27.97,15.008,18.33,31.15,49.53,22.21,22.16,8.07,9.238,42.79,31.2,43.12,32.48
2008-03-17 00:00:00-04:00,33.08,20.64,39.43,2.433,89.912,13.923,24.3,30.44,45.86,22.53,15.76,26.17,25.68,46.42,32.74,20.85,24.93,24.27,39.97,20.52,28.315,14.818,17.86,31.01,49.76,21.33,21.28,7.975,9.388,42.96,29.62,43.07,33.06
2008-03-18 00:00:00-04:00,34.45,21.54,41.07,2.482,12.592,14.605,25.57,31.69,46.97,40.52,16.66,26.95,27.19,47.83,34.935,21.75,24.97,25.55,42.48,22.36,29.46,15.393,18.97,32.07,51.81,22.03,21.76,8.25,9.983,44.75,31.47,44.23,34.1
2008-03-19 00:00:00-04:00,34.38,20.69,40.53,2.421,11.978,14.175,24.46,27.25,46.87,40.34,16.73,27.07,26.82,46.57,35.07,21.08,24.58,24.45,42.87,21.97,28.62,15.473,17.66,31.86,52.5,21.99,20.65,8.083,9.993,45.0,29.36,44.2,33.06
2008-03-20 00:00:00-04:00,34.57,21.05,42.44,2.512,94.338,3.497,24.75,31.92,48.46,24.87,17.03,27.69,28.04,46.45,35.52,21.72,24.64,25.14,45.48,23.23,29.19,16.8,18.55,32.97,55.57,21.78,21.25,8.483,10.303,46.01,29.07,45.48,33.32
2008-03-24 00:00:00-04:00,36.3,20.99,43.27,2.579,97.246,14.945,25.71,27.95,49.77,43.49,17.15,28.51,29.25,47.99,37.165,22.14,25.04,25.56,46.55,24.3,29.2,17.285,20.08,34.03,56.44,22.56,21.98,8.608,10.513,46.85,31.54,46.0,33.76
2008-03-25 00:00:00-04:00,35.42,20.65,42.75,11.618,100.64,15.218,25.74,32.09,50.13,25.63,16.58,28.82,28.74,48.23,37.43,22.23,25.37,26.58,46.7,23.71,29.14,17.08,20.32,33.24,55.64,22.56,21.67,8.6,10.513,46.81,30.54,46.38,34.26
2008-03-26 00:00:00-04:00,35.3,20.32,42.25,11.468,98.318,14.81,24.8,31.75,49.46,41.62,16.76,28.03,28.15,47.37,37.25,21.86,25.0,26.21,45.15,23.21,28.56,16.585,19.66,32.87,54.5,23.04,21.8,8.393,10.443,45.78,29.47,45.4,34.43
2008-03-27 00:00:00-04:00,35.78,19.98,42.28,11.29,97.912,3.553,24.18,31.38,48.15,24.15,16.39,28.2,27.77,46.63,37.175,21.09,25.12,24.9,44.53,23.02,28.05,16.5,19.39,33.35,54.32,22.68,20.48,8.325,10.15,45.02,27.03,45.0,33.78
2008-03-28 00:00:00-04:00,35.26,19.56,40.56,11.31,95.8,3.549,24.06,27.04,49.38,23.76,15.82,28.15,27.37,46.1,37.14,20.77,25.1,24.26,42.3,22.67,27.9,16.478,19.73,33.5,54.26,22.79,20.28,8.16,9.838,44.47,26.69,44.8,33.85
2008-03-31 00:00:00-04:00,35.11,19.5,41.38,2.621,12.488,14.438,24.11,31.36,49.92,41.35,16.17,27.86,27.95,45.8,37.985,21.18,26.43,25.01,42.86,22.91,28.38,16.97,19.8,34.26,54.42,22.67,20.9,8.255,9.875,44.96,27.01,45.26,33.56
2008-04-01 00:00:00-04:00,35.85,20.1,43.5,2.706,99.972,3.818,24.99,31.9,51.93,44.23,16.78,29.24,29.5,47.62,38.965,21.97,26.49,25.78,45.58,24.5,29.51,17.383,20.97,35.65,57.23,23.2,21.57,8.498,10.058,47.46,27.93,46.65,34.31
2008-04-02 00:00:00-04:00,35.73,20.59,43.93,2.74,102.168,15.575,24.94,27.53,51.48,43.22,17.32,29.58,29.18,47.23,38.505,21.84,26.73,24.56,45.4,24.57,29.15,16.978,20.36,35.87,55.19,23.2,21.84,8.6,10.16,47.31,27.54,46.86,34.73
2008-04-03 00:00:00-04:00,36.25,20.87,42.51,2.73,13.68,15.71,24.25,31.51,50.85,43.68,17.15,30.1,29.24,46.95,39.07,21.93,26.78,24.37,44.75,24.33,29.0,17.218,20.02,35.77,56.47,23.08,22.12,8.515,10.125,48.34,28.83,47.71,34.74
2008-04-04 00:00:00-04:00,36.83,20.89,42.92,12.088,102.478,16.305,24.43,31.24,51.74,43.37,16.94,30.35,28.83,46.38,39.4,21.87,26.8,24.02,44.85,24.27,29.16,17.153,18.78,36.4,55.68,23.53,21.65,8.278,9.678,47.73,28.34,46.7,34.85
2008-04-07 00:00:00-04:00,37.23,20.19,42.56,2.692,102.014,4.071,23.94,27.5,52.25,25.49,17.02,30.29,28.48,45.98,39.42,21.74,26.9,23.44,43.64,24.19,29.16,16.708,19.2,35.95,55.16,23.62,21.7,8.025,9.663,47.7,28.16,46.69,34.86
2008-04-08 00:00:00-04:00,37.93,19.5,42.19,2.692,102.204,3.991,23.96,31.08,52.44,42.07,17.14,29.71,28.16,46.09,39.15,21.09,27.4,23.42,43.38,24.02,28.79,16.655,19.13,35.8,54.13,23.44,21.3,8.065,9.55,47.43,28.25,46.66,34.82
2008-04-09 00:00:00-04:00,37.01,19.69,41.22,11.6,99.97,3.955,23.53,30.85,51.01,24.13,16.62,29.41,27.7,46.05,39.07,21.43,26.54,22.97,42.47,23.34,28.92,16.625,19.5,35.28,53.6,22.58,21.06,8.02,9.188,46.9,28.51,46.04,34.29
2008-04-10 00:00:00-04:00,38.04,20.19,42.11,2.664,13.3,4.098,24.01,27.35,51.35,40.8,16.65,30.41,28.38,46.58,39.43,22.06,26.68,23.3,43.73,24.54,29.1,16.845,19.87,35.85,54.45,22.99,21.59,7.715,9.415,45.98,29.85,47.11,24.24
2008-04-11 00:00:00-04:00,36.55,19.1,41.21,2.627,98.102,15.275,23.41,30.19,50.4,23.76,16.48,29.69,28.2,45.48,38.135,21.27,26.19,22.85,42.57,24.03,28.32,16.68,18.53,35.55,53.65,22.23,20.57,7.523,9.29,45.43,27.69,46.95,33.8
2008-04-14 00:00:00-04:00,36.51,18.88,41.02,2.635,95.534,3.755,23.3,30.03,50.33,23.66,16.52,30.45,27.9,45.83,38.08,20.72,25.7,23.15,43.15,24.02,28.06,16.508,17.91,35.46,52.99,22.21,20.0,7.703,9.06,45.63,26.99,46.89,33.91
2008-04-15 00:00:00-04:00,36.5,18.74,41.77,2.7,96.914,3.71,23.12,26.11,50.88,23.89,16.7,30.2,27.93,45.88,35.69,20.9201,25.89,22.74,44.01,24.22,28.27,16.47,18.14,35.63,53.5,21.95,20.14,7.673,9.185,45.87,27.14,47.34,34.0
2008-04-16 00:00:00-04:00,37.59,19.35,42.76,2.773,98.98,3.845,23.8,30.32,52.02,24.9,17.04,30.54,28.02,47.11,36.57,22.12,26.5,23.61,44.06,24.46,28.93,16.528,18.85,36.39,57.32,22.95,19.09,7.8,9.26,47.03,28.09,49.1,24.85
2008-04-17 00:00:00-04:00,38.15,19.18,42.46,12.668,99.598,3.885,23.91,30.79,51.46,24.96,17.08,30.71,28.13,47.26,36.0,22.15,26.19,23.36,44.49,24.52,29.24,16.923,18.59,36.45,57.43,22.69,19.8,7.79,9.188,48.14,28.09,49.25,34.9
2008-04-18 00:00:00-04:00,39.37,19.12,43.86,2.952,13.41,15.963,24.5,27.33,52.01,42.31,17.18,31.59,28.68,48.17,36.645,22.55,26.5,24.48,45.77,24.85,30.0,16.99,19.02,36.75,57.19,23.14,19.49,8.005,9.245,47.61,29.31,48.76,35.75
2008-04-21 00:00:00-04:00,38.45,19.0,43.8,12.795,104.72,3.915,24.91,31.45,52.05,42.0,16.94,34.66,28.98,48.45,36.93,22.46,27.01,25.17,46.09,24.84,30.41,17.17,19.9,36.46,57.4,22.7,19.99,7.963,9.228,47.49,30.72,48.66,35.42
2008-04-22 00:00:00-04:00,37.83,18.44,42.41,12.525,12.872,3.838,24.93,31.34,51.92,41.34,16.61,34.21,28.54,48.22,36.305,22.02,26.87,24.36,46.15,24.32,30.27,17.033,19.51,36.19,57.44,22.03,19.46,7.88,9.11,47.56,29.85,48.43,35.1
2008-04-23 00:00:00-04:00,38.37,18.81,43.54,12.55,97.74,4.212,25.44,31.63,51.81,42.27,16.95,33.94,28.13,48.03,39.925,22.56,26.81,25.4,47.57,24.41,31.46,16.903,20.44,36.26,58.74,22.57,19.23,7.923,9.37,48.73,30.31,49.1,35.31
2008-04-24 00:00:00-04:00,38.72,19.28,43.95,3.054,96.682,17.055,25.98,27.86,51.34,25.52,17.13,33.99,28.95,48.33,39.92,22.67,27.49,25.71,48.26,25.01,31.68,17.018,19.96,36.42,59.48,23.28,19.6,7.983,8.853,49.98,31.19,49.72,35.35
2008-04-25 00:00:00-04:00,38.89,19.11,45.07,3.09,12.802,4.255,25.59,32.38,51.53,43.79,17.24,35.0,29.78,47.46,39.52,22.59,27.85,26.83,50.67,26.04,29.81,17.178,20.13,36.51,59.45,23.01,19.38,8.245,8.985,50.04,28.38,50.13,35.49
2008-04-28 00:00:00-04:00,39.08,18.99,45.32,3.088,94.602,4.218,25.33,28.29,51.83,42.88,17.19,35.27,29.71,47.58,38.595,22.72,28.02,27.01,49.86,25.66,28.95,16.95,19.79,36.29,58.99,22.64,19.16,8.215,9.183,49.91,29.04,50.24,35.37
2008-04-29 00:00:00-04:00,38.83,18.97,44.39,3.049,95.196,16.755,25.52,28.58,51.68,42.58,17.2,35.8,29.39,47.83,39.0,22.64,27.75,27.39,50.45,25.52,28.65,17.063,20.22,36.05,58.57,23.26,19.21,8.328,9.088,49.11,29.04,49.52,35.75
2008-04-30 00:00:00-04:00,37.57,18.65,43.05,3.068,91.594,16.715,25.65,28.29,51.47,42.07,16.81,35.59,28.79,46.27,39.0,22.29,27.87,27.64,48.8,25.18,28.53,16.7,20.55,36.37,57.75,23.11,18.87,8.055,8.883,48.57,28.99,48.45,36.1
2008-05-01 00:00:00-04:00,38.37,19.52,44.79,3.092,95.656,16.788,26.69,33.29,53.18,43.02,17.54,36.15,29.9,48.1,39.05,23.26,30.48,28.64,48.94,26.28,29.36,16.933,21.498,37.2,58.1,23.7,19.51,8.245,9.125,49.52,29.68,49.02,36.58
2008-05-02 00:00:00-04:00,39.04,19.72,44.9,3.077,97.228,16.838,26.75,33.47,53.17,43.58,17.71,35.63,30.13,48.33,39.385,23.58,30.2,28.79,50.09,26.12,29.23,16.903,22.52,37.11,58.45,23.55,19.42,8.03,8.95,48.61,29.4,47.95,36.61
2008-05-05 00:00:00-04:00,38.74,19.48,43.79,3.102,98.068,17.328,26.25,29.04,52.09,25.55,17.55,35.61,29.33,48.26,40.395,23.23,29.62,28.53,48.2,25.46,29.05,16.725,21.97,36.52,58.97,23.61,19.68,7.858,8.773,48.35,29.52,48.06,25.71
2008-05-06 00:00:00-04:00,38.67,19.39,44.45,3.064,97.0,4.385,26.3,33.7,52.18,44.04,17.59,35.84,29.32,48.7,39.895,23.61,30.66,28.73,48.79,25.39,29.72,16.903,22.55,36.44,59.44,23.78,19.87,8.02,8.603,48.61,29.58,48.25,25.84
2008-05-07 00:00:00-04:00,37.4,19.26,43.44,13.33,93.826,16.763,25.75,34.69,52.09,24.9,17.07,34.8,28.49,48.57,38.98,23.18,30.35,28.06,48.71,24.92,29.19,16.67,22.05,35.79,58.14,23.66,19.84,7.945,8.468,46.58,29.79,47.35,36.29
2008-05-08 00:00:00-04:00,37.91,19.51,42.06,13.603,93.138,16.878,25.68,34.59,52.58,41.95,16.95,35.36,27.9,49.01,39.235,23.39,30.49,27.6,47.58,24.13,29.24,16.185,21.79,36.27,57.94,23.75,20.3,7.748,8.46,46.7,30.47,47.79,26.01
2008-05-09 00:00:00-04:00,37.72,19.29,41.93,3.069,92.456,16.693,25.49,34.31,52.61,24.53,16.9,35.53,27.96,49.14,39.35,23.38,29.94,27.34,47.78,24.19,29.39,16.23,22.53,35.94,56.98,23.56,20.27,7.763,8.325,46.77,30.39,48.42,25.84
2008-05-12 00:00:00-04:00,38.01,19.87,43.69,13.65,92.79,16.913,25.86,34.78,54.27,43.39,17.0,36.05,28.65,46.64,39.79,23.67,30.11,27.69,49.09,24.7,29.98,16.325,21.89,36.59,58.18,23.87,20.13,8.038,8.353,47.6,30.55,49.86,26.18
2008-05-13 00:00:00-04:00,37.82,19.9,43.63,3.109,91.406,16.99,25.88,34.33,54.57,25.5,16.74,36.92,28.78,44.22,39.22,23.78,29.77,27.26,48.59,24.39,29.78,16.42,21.44,36.32,58.47,24.44,20.09,7.665,8.538,47.63,31.24,49.86,26.11
